         756302 function calls (747487 primitive calls) in 1.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.001    0.001    0.016    0.016 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:535(_create_methods)
        1    0.000    0.000    0.015    0.015 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_generation.py:98(process_data)
     2637    0.015    0.000    0.015    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
        3    0.015    0.005    0.015    0.005 {built-in method _imp.create_dynamic}
      214    0.003    0.000    0.014    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.014    0.014 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:496(_get_client_args)
        1    0.000    0.000    0.014    0.014 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/args.py:86(get_client_args)
   111/60    0.012    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       39    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
    14439    0.008    0.000    0.012    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:196(as_escaped_string)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/__init__.py:1(<module>)
      808    0.001    0.000    0.011    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:157(exists)
     1634    0.001    0.000    0.011    0.000 <frozen genericpath>:27(isfile)
       39    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    70/61    0.000    0.000    0.010    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:1137(get_component)
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/context.py:1(<module>)
        4    0.000    0.000    0.009    0.002 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:814(_get_internal_component)
        1    0.000    0.000    0.009    0.009 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:72(_get_default_session)
        1    0.000    0.000    0.009    0.009 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:27(setup_default_session)
        1    0.000    0.000    0.009    0.009 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/session.py:49(__init__)
    43305    0.004    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1740(<genexpr>)
        1    0.000    0.000    0.009    0.009 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:203(create_default_resolver)
        1    0.000    0.000    0.009    0.009 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/connection.py:1(<module>)
       62    0.004    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:513(justify)
        1    0.000    0.000    0.009    0.009 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
    83693    0.006    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:510(len)
      120    0.000    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:418(register)
        1    0.000    0.000    0.008    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:382(create_endpoint)
       99    0.003    0.000    0.008    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:553(_create_api_method)
        1    0.008    0.008    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/process.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/shared_memory.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:1265(get_session)
        1    0.000    0.000    0.008    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:97(__init__)
        4    0.000    0.000    0.008    0.002 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:524(adjoin)
        4    0.000    0.000    0.008    0.002 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:31(adjoin)
        1    0.000    0.000    0.008    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:209(_maybe_cache)
        1    0.002    0.002    0.007    0.007 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pyarrow/pandas_compat.py:564(dataframe_to_arrays)
95881/95865    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
      112    0.000    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:709(register)
        1    0.000    0.000    0.007    0.007 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:247(_register_builtin_handlers)
       44    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    14439    0.004    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:373(is_sequence)
        1    0.000    0.000    0.006    0.006 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
      210    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:280(_compile)
    82/72    0.001    0.000    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.001    0.001    0.006    0.006 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:126(_guess_datetime_format_for_array)
       43    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.006    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.006    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/thread.py:219(shutdown)
       43    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        4    0.000    0.000    0.005    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1115(join)
